Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
7.777919354289482889e+00,-4.701142557688751111e+00,7.480248076824995707e+00,-5.013018785505434671e+00,-8.006255588079294938e+00,1.468132697338994141e+01,4.541168732625941118e+00,-1.328742880943825888e+01,9.554508009953037728e+00,-1.330779056595405052e+01,8.087845476519254007e+00,1.612897204081087921e+01,-7.263481513439377757e+00,7.686252775642496538e+00,-3.094032857856735319e+00,1.370976475246555104e+01,-7.689963724227523834e+00,2.031032261996671906e+01,1.786396645759472790e+01
6.603069756121604517e-01,-1.138225449750252416e+01,-1.654279854045847875e+00,-1.662108501799558047e+00,-9.943920707958522343e+00,-1.784021186918689494e+01,-3.337418107466407768e+00,-3.550656965958645550e+00,3.592724169964478076e+00,3.839551684673490617e-01,5.878345688860872054e-01,4.802128173982353587e+00,4.297521065364637849e+00,1.667872853515877196e+01,6.939849665743639484e+00,2.319376894996639793e-01,-2.170635434744139225e+00,-1.226633052955226511e+00,-9.483523210981951834e+00
1.127241206968033005e+01,7.419299197089303632e+00,-4.716236699947854660e+00,9.990434475067726083e+00,1.203418029334203965e+01,-4.684936098410209304e+00,8.549285789815327163e+00,-9.965906338791322483e+00,7.376985049207000600e+00,-1.014897295259854637e+01,-8.326863594556341397e+00,7.246072624984841504e+00,-2.560051061381125148e+00,-1.878362638489562997e+01,-9.863296620933633463e+00,-3.886871946080732165e+00,2.099692640470167859e+01,3.690613056728017760e+00,-2.558552063783496866e+00
4.675093422520456343e+00,8.180277537237719443e+00,1.599147584481654327e+01,-8.081937873347598611e+00,1.637709608994060062e+01,1.607013923866842608e+00,-2.067211815431774458e+00,-1.006657718490023612e+01,6.480445202643201341e-01,-1.255615651608059480e+01,1.250229122059021591e+01,1.653723269400770235e+01,2.884307460361467346e+00,-9.273025337475091945e+00,-1.099172393994900965e+01,-3.012039046862462932e+00,3.407732848283706151e+00,-1.625590333113500208e+01,-1.132389327519767974e+01
-8.592924628832383505e+00,9.488954810835059206e+00,5.893308114979688206e+00,-9.097116050340972038e+00,-1.791511380311797197e+01,-4.123882400428017722e-03,1.837992126850949859e+01,-7.329229340398356385e+00,-8.148647276363732317e+00,2.002516527079915676e+01,-1.542752061319698109e+00,1.495608283182772347e+01,1.624161649167989196e+01,1.757554928416078521e+00,-1.224398428369698522e+01,-2.252895692584660381e+01,-9.707566982579882264e+00,-1.356164670858169963e+01,1.680118033722511450e+00
3.687507840824988836e+00,-6.083486000324562326e+00,-3.911418086578850595e+00,-2.343912212090707659e+00,5.821294945320687475e+00,-2.048871313895147747e-02,-6.527755604705101078e+00,-1.961537620511359492e+01,1.618171552314094486e+00,1.260217114563135121e+00,-2.482372866390020860e+00,2.228476212298456716e+00,-2.626873993358819881e+00,-1.391576522023636286e+01,9.786918031683351060e+00,-9.521796184331908108e+00,1.003027404615836815e+01,-1.153764052670268114e+01,-2.672489967002743327e+01
-9.588826008289990099e+00,1.179362312693078785e+01,-6.530843632897551210e+00,1.277912662076372996e+01,8.589334714906842194e+00,-5.192492686122410994e+00,3.949944785982504314e+00,9.793501741545309613e+00,1.215608775848789413e+01,9.476013080994061255e+00,1.148855035656595902e+01,1.105023296025049362e+01,2.173306054216549654e+01,-3.404539395286545300e+01,6.465600284391463504e+00,-3.796089312721122866e+01,2.333686504095583203e+01,-1.334490431548791989e+01,-2.058488351700334817e+01
8.784503013072725963e+00,-4.935822513280676560e+00,1.024897506942139636e+01,1.610731094603602642e+01,-1.211685131948993721e+01,5.409074495476779987e+00,2.189389957122386576e+01,2.190018674166011703e+00,1.267828127095625490e+01,-5.198665914198569382e+00,-3.082702589526169845e+01,9.386343056746218494e+00,-2.153203192419621104e+00,-2.243918172371682118e+01,1.334307833817404898e+01,-6.763581301420291680e-01,5.285846412662041693e+00,-3.273022067705906579e+01,-9.948488729899855443e+00
-4.992591098625290269e-01,6.535013215385131247e+00,1.154000860531593675e+00,-9.878302044073389299e-01,-4.717551444419045836e+00,-1.215392363682097532e+01,1.041954865335437042e+01,1.160877080466244848e+01,-2.581458651843308516e+01,-1.029033055352449644e+01,-7.048681660742559529e-01,1.731435981103588873e+01,-1.042211104602869831e+01,-2.576819645875913878e+01,6.331239913597019431e+00,-1.034133595987236909e+01,-5.962419512266073918e-01,-5.623129720003835530e+01,-2.237971437041580813e+01
-1.848623635452605773e+00,-5.109126617666753134e+00,-1.635529951260862314e+00,-7.121216280448002145e+00,-5.770462583888749997e+00,-1.440054129843295172e+00,7.454153437191187059e+00,8.019554722285139547e+00,6.289311312558996114e+00,-3.116662424910402862e+01,-1.474623074282371782e+01,1.472801538276608424e+00,1.566782884208454618e+01,-1.238445267532189753e+01,1.313953468899371702e+00,-2.355532868372243271e+01,-1.480459088746226826e+01,-1.096223862253164327e+01,-3.289215918928161386e+01
-6.809295444039414669e+00,-2.239821637457708903e+00,1.149751755625937788e+00,1.064114615919585205e+01,1.900946760415316206e+01,4.319010016840547195e+00,2.968315610264272930e+00,4.988532205902725281e+00,-4.942212960033049107e+00,-3.169939714165998179e+00,5.529782637683397617e+00,1.313201652729319591e+01,1.814216833207846236e+01,-1.569748544560004433e+01,-2.748050328459532121e+00,-1.756961657797898013e+01,-9.612290614392575705e-01,-9.923301241524484340e+00,-1.507054033944820937e+01
1.222541338674030342e+01,-2.421177857389189825e+01,3.377968746369914843e+00,-1.669295581660475492e+01,1.652450216382635517e+01,-3.325300659450968421e+00,5.283444909736235706e-01,7.942247559066896834e+00,4.006130551730145761e+00,-1.658326558757596203e+01,1.617843912528914885e+01,-3.508483889466682548e+00,-9.366176971528243911e+00,-1.697920390695371395e+01,1.027532661657714819e+01,-2.307190442828790822e+01,-1.233435282870351379e+01,-3.892725651928696351e+01,-6.307554140584539226e-01
-1.545294820688021709e+00,-3.019132144169156984e+00,-5.668914743077159146e-01,2.476108541480902314e+00,-9.211768129693929552e+00,4.786978328813322470e-02,-1.738660178346240093e+00,1.508126985950926979e+00,-1.365903977141464409e+01,9.446937485994139072e-01,4.937165995745240288e+00,5.268274453412233882e+00,-7.893404056016866122e+00,-9.757625277827699506e+00,6.253705158352603988e+00,-1.660108282641452604e+01,2.938148375568884862e+00,-1.000952479464532985e+01,-1.403337770277012986e+01
-4.283278221631072746e+00,9.108996678502743194e-01,1.203686866842994441e+01,-4.391359283920512890e-01,-1.459248111044038687e+01,2.155141574496014734e+00,-5.618060599641136577e+00,1.305065715335795318e+01,-4.301525511036891736e+00,-1.292673381741396277e+01,1.970159395971738192e+01,9.592650243751313255e+00,8.184416746131175202e+00,-9.648842765482719130e+00,-7.999438018060889277e+00,-5.585305693465683952e+00,-2.088200748204560853e+01,-8.619375529955288329e+00,6.896750388943765131e+00
-3.521335504882296519e+00,-4.100496173638387809e+00,1.259338476211986979e+01,1.293827843524381294e+01,7.729769617659390413e+00,-1.760820718768206916e+01,-1.535727588320875014e+01,-5.097557633188812609e+00,-1.604150477311391043e+01,4.678769641704009885e+00,2.087763577772650869e+00,7.581084715055914636e+00,5.723948043571825295e+00,-1.184028009144160265e+01,-5.632191341511897598e+00,-5.302389951539062452e+00,5.750835768165963202e+00,1.004433857695318544e+01,2.132176620135887379e+00
5.323091855533487404e+00,1.756188068085139520e+01,5.318881192017994586e+00,1.395018539638376254e+01,5.439475201306795960e+00,-1.667300241717487808e+01,6.406172120376982804e+00,-2.013659477457738489e-01,-4.326419285209367693e+00,2.058530194675594416e+01,1.443459389862554687e+01,3.825717311792077524e+00,-8.097072392959745457e+00,9.147250167067364046e+00,1.645151727910165507e+00,-2.157444880088355887e+00,-1.768861035519734415e+01,1.519854929644006170e+01,2.223907753793372422e+01
3.654440643640783470e+00,-1.162466085325276488e+01,1.374718990495627402e+01,-9.425285579472742370e+00,1.243993501192632145e+01,1.339287622590592086e+00,-1.538028872234434097e+01,-2.791895196078134411e+00,6.075805179534467193e+00,2.826010572673300558e+01,-1.590194079822001783e+01,4.447213447990601143e-01,-8.950761332889756616e+00,1.156869361861653678e+00,1.554716469729203743e-01,1.655454229115628806e+01,8.689158697780643426e-01,1.773923318979052866e+01,1.410459715733050601e+01
4.127326115959884412e+00,-5.635812371039258473e+00,8.496768138222052236e-02,1.676780354749751512e+00,-1.059074571846563195e+01,-6.083820783954672962e+00,6.513857776256283039e+00,2.017052561450400461e+01,4.450462156856948681e+00,3.205699855298329570e+00,2.102530484980547065e+00,7.878091687305542656e+00,2.850464276581811340e+00,1.695476876014193834e+01,7.933143889946434157e+00,1.112227474611509237e+01,1.559284717342164761e+01,1.066225401437421638e+01,3.550938450007162572e+01
4.308210030078827302e+00,-9.048726099858534155e+00,6.903310050046153279e+00,-5.706043422415405075e+00,7.235410204822901648e+00,-5.480217989781682064e+00,-3.092490460025449472e+00,-6.318421023820686599e+00,2.145915409001770513e+01,-1.134941060227006165e-01,-1.324120895876390058e+01,5.902074721575480076e+00,-1.358847210832411001e+00,2.497551030355882418e+01,6.776316973120092513e+00,1.906895369541362584e+01,-9.349912406271899457e+00,-5.530856363654948815e+00,1.471368898856261431e+01
2.141647600870461332e+01,-5.637769789954711896e+00,1.004456318871941534e+01,-2.933273849067402406e+00,-7.317592213050164496e+00,5.690073142464599165e+00,-9.554731880899216989e+00,1.287749619111122712e+01,-5.150368078828874374e+00,-7.010125298603975708e+00,3.832375347466563831e+00,1.822920258303983188e+00,5.774346916596582169e+00,8.968022356561684560e+00,-7.635873454824248618e+00,2.007264580487020567e+01,-6.625409921847480454e+00,2.641979147602658173e+01,2.396053300696443245e+01
-4.064150163846155905e+00,1.031413062940705139e+01,1.019038280016610187e+01,6.173877745579746446e+00,6.231634970066949109e+00,-9.888381064769284023e+00,1.405685254717407950e+01,-1.363349529392642978e+01,-8.783081234177664953e+00,-7.815433056479828444e+00,-3.197976385802177912e+00,7.480577507487998545e+00,5.737651205124417508e+00,2.145127318203181233e+01,-1.080028621643669950e+01,2.464855120693760782e+01,3.659307632768768581e+00,1.290984937154910739e+01,1.465049853290648407e+01
-5.122427290715373616e+00,1.478031794326963677e+01,9.159991477383439218e+00,-3.348941220919324557e+00,-3.711933367290365382e-01,-2.413240491812006994e+01,-1.449095611278325357e+01,1.002756459150015989e+00,1.385921814322952805e+01,-9.186174446122725712e+00,-1.976922791988246830e+00,-1.427173126632180633e+01,9.141304431798097596e+00,3.999763063211300107e+01,-1.647442614436129205e+01,2.517823187636653870e+01,-5.449159148715177814e+00,6.925133072093832887e+00,3.301418806959820529e+01
-8.137727282478778079e+00,-7.007926109189417829e+00,6.311891940816846791e+00,1.939254565280249754e+00,1.900618002968875686e+01,1.657028783667903227e+01,-6.661362616313773799e+00,-1.815928920935798940e+00,-1.716318463040341413e+01,1.482547248045325006e+01,-2.136307499007565003e+00,4.933158612400615262e+00,-2.043599055304764178e+01,3.702676013616422779e+01,-4.874375094923068773e-03,1.264771807697132822e+01,1.191553589707644711e+01,5.318199381658348557e+01,2.667717865201963789e+01
6.159794225754956720e+00,-7.230075427232034002e+00,1.957128115638085930e+01,9.572721652797634206e+00,4.473936955000573867e+00,1.209843479689265244e+01,-5.726523394991680505e+00,-1.020875469521008228e+01,1.931941756392197451e+00,-3.919575470111469340e+00,1.049301096970918401e+01,-1.638969519906520134e+01,1.864206724934274462e+01,2.577939895928769332e+01,1.808284811675969195e+01,-4.629794012314887852e-01,-2.779067509822227944e+00,1.487541601163844263e+01,2.920947343822713904e+01
1.128972292720891701e+01,-1.157128648593914910e+01,-5.396957852654911569e+00,1.515161723795926108e+01,-3.139943134024828719e+00,1.197169480970365996e+01,1.495741451161929580e+00,-6.644563851121598752e+00,5.028738433795260754e+00,2.160309699281031826e+01,1.930789572493389672e+00,-8.184320752336516236e+00,5.183925855243537661e+00,1.613595683239423195e+01,-2.083068898335375785e+00,1.429457085033087083e+01,9.692026434112227307e+00,2.381359285140289472e+01,2.422781311459301534e+01
-1.139474576548750839e+00,1.306285386519303593e+01,-1.552207875602106490e+00,2.886801448094544309e+00,1.379334073609913558e+00,-1.120747575820760389e+01,-6.126797500916851824e+00,5.030672500067622899e+00,-2.310200937986590120e+01,-9.287639092914515615e+00,1.879942344520546538e+00,3.936451177204488783e+00,-4.328434547946713451e+00,1.057567814310788279e+01,-2.053530603576317892e-01,2.105846980896724574e+01,4.782828508691367553e+00,2.260350729256822078e+01,1.902510810964207977e+01
-8.401564769625279538e+00,1.121004406916302720e+01,-2.145104766501341853e+00,1.177654070401385589e+00,-1.005184568914151644e+00,-7.741888249240012065e-01,1.461715161971416421e+01,-3.364642537787309706e+00,-1.090292930154760498e+01,-1.408575119964373457e+00,1.659903888314930853e-01,9.905561607935686741e-02,-1.060264811233022852e+00,1.123897652551785198e+00,2.570254714523385164e+00,1.602529137885841237e+01,5.044426834094783985e-01,1.281695899280691542e+01,1.726703725363265107e+01
-8.244812156912397327e+00,-1.059817999887867845e+00,-3.680671447638094840e+00,-1.107290159481847169e+01,-1.154436337335340212e+01,-1.268418584550057915e+01,-1.371295126238034001e+01,-9.651792139497047174e+00,-1.365256085449572510e+01,-1.268289262960674790e+01,7.180987345344089334e+00,-1.632356924418420263e+01,6.488181513227116781e+00,1.137979998599314424e+00,1.717286733373797059e-01,3.376911452671872649e+00,1.424304795675584767e+00,-2.607641765050677307e+01,1.253383959129768499e+01
6.505927878247010909e+00,-1.396099196306880152e+01,-1.988772043414936519e+01,1.585798454110720002e+01,1.924892154323977422e+01,-5.995953123999115952e-01,4.085417964408369329e+01,8.977754296295897163e+00,8.331711457367218188e+00,5.322778607868592360e+00,-2.194780689886253633e+00,-1.831245896399515161e+01,2.350244090532881192e+00,8.635602904614167130e+00,-1.216785838035876210e+01,-1.385326538333956137e+01,3.557857334910873970e+00,1.127863172887736454e+01,8.635023538786648079e-01
7.432541712034423931e+00,-1.306662565456252167e+01,1.374864805708247495e+01,4.957010678281488225e+00,1.598719722603926741e+01,-3.480109546392660125e+00,-1.058772677371540993e+01,-2.118708745898154611e-01,-6.424712940946206707e+00,-2.028390144712315823e+00,-1.105000119306835416e+01,-2.910695206606543017e+00,2.490819105380713605e+00,-1.647853332042861041e+01,-6.891500054680403942e+00,-2.616448578388501645e+01,-3.803437817277849131e+00,-1.002215739009926132e+01,-6.480690126728514855e+00
5.431542683051950426e+00,1.706294503845932065e+00,-1.026040459046277675e+01,1.362251244866923283e+00,-1.763034640403999376e+00,-1.078056160833228105e+01,2.955869679885562462e+01,3.312139454964906804e+00,-2.603685294025447572e+00,-3.346028826160075131e-01,9.606862292725592667e+00,-1.771298011802463179e+01,-9.230913007221195343e-01,-2.824946079118260300e+01,-2.501516748288060477e+00,-1.036268101792304464e+01,1.173850874875214600e+01,-1.040664561079518258e+01,-2.271024414977417649e+01
-6.655097072886944076e+00,5.493379184464988185e+00,1.698149087460971929e+00,8.504922219669409644e-01,6.998807319481566758e+00,5.032861480745562943e+00,1.093041572871755740e+01,1.093179324808606800e+01,-1.613552943688633334e+01,-3.098774487121596977e+00,-4.403203518962814478e+00,-1.332929931999392359e+01,1.668400383279270827e+01,-1.016895945105546950e+01,1.574891942530972599e+01,-6.778993888136120027e+00,-1.284070543915150608e+01,-2.663833346640064903e+01,-8.304802331914959979e+00
2.321613230667197936e+00,-2.066144805021148656e+01,-1.421861177674886711e+01,3.606534735552544113e+00,2.051429341641958715e+01,-2.587428722262789638e+00,-1.102902186024546038e+00,1.545813353711797866e+01,-8.098782332869260969e+00,5.566448072454303286e+00,2.795082781149667017e+00,-5.589100746261853381e+00,3.399959970727394865e+00,-2.689305101221053818e+01,1.203015232798914447e+01,-2.181963563159236941e+01,1.608918603440811168e+01,-3.167372604229528221e+01,-3.085810763083646080e+01
1.166858091407282361e+00,-3.213099105378827147e+00,6.207157307197384455e+00,7.717904898807331548e+00,1.236896319384731235e+01,1.722700263652284747e+01,2.266296182468992004e+00,-2.286072341899937754e+01,-7.901095760404434287e+00,6.704722733092488340e+00,7.631380873650088326e+00,8.987220736800500376e+00,1.138109471557622498e+01,-3.501873205209421513e+01,-1.143250298386699981e+01,-8.110798023358649189e+00,-1.282687277993152186e+01,-3.304586303469893949e+01,-2.621633026197045879e+01
2.186885967290129962e+00,1.618295889557384015e+01,-7.853960359401980007e+00,8.955505301305933585e+00,-3.073914077472142736e+00,8.577998276070548656e-01,-3.787613777657681258e+00,-1.074320847574637527e+00,-2.181406734460069607e+00,8.310567409972609454e+00,-1.069736400684321076e+01,-1.149941032584080602e+01,2.182703922628401472e+01,-2.529237629377566421e+01,1.338984390391268597e+01,-1.773707520100890278e+01,1.031201199924158018e+01,-3.297590412950487604e+01,-2.406733386865150592e+01
8.714287779481898255e+00,-2.175092066302855009e+00,-1.135961924109057897e+01,1.610801895806605799e+01,-8.795721969845831101e-01,-2.547895660006977181e+01,3.470571146363083948e+00,-1.676919658864996876e+01,-3.059189333801463739e+00,-9.406933555155607252e+00,-8.170088525905109478e+00,-2.143391087869269995e+01,9.630042097464690087e+00,-2.791565341387762800e+01,1.744154633962738998e+01,-2.631998113769794401e+01,1.943103063441507672e+01,-3.006207234947822826e+01,-3.680173961106788028e+01
2.235955487746823067e+00,1.489638090790624148e+01,1.943434644817062518e+00,2.426885085126161634e+00,-1.717534447240585394e+01,-1.812126508632849564e+01,-7.370117757234095457e+00,2.726057778170671497e+01,1.470198515342244150e+01,3.209688922983922943e+00,-1.430927565151567116e+01,1.351546182110610950e+01,3.009496564233024252e+00,-2.157671821544301594e+01,4.443453615997836614e+00,-3.324349771537460185e+01,1.728825993294318053e+01,-9.244268200093106458e+00,-3.359938384579361781e+01
6.789135630718949876e+00,6.490461289556836988e+00,-7.007345804826288216e+00,1.754201219265403822e+01,7.747718432115514808e+00,2.095638266057983046e+01,7.089910589958268616e+00,1.507509375359096682e+00,6.916842448335345672e+00,-4.973988853801520449e+00,-3.486026731351049790e+00,8.583924058354146069e+00,-1.840086018282907432e+01,-1.344306215606563093e+01,-6.029687922343190287e+00,-2.416772128039790246e+01,-2.048612063203787770e+01,-2.201003073882933947e+01,-2.481748128204771575e+01
6.757906948889146337e-01,-1.084279600835357726e+01,-5.741590960863730331e+00,1.057723279482561374e+01,1.242845234072603233e+01,-3.590369907979159780e+00,1.819974513374088110e+00,9.731610843624883600e+00,-1.776412130445712734e+01,1.328600834485891191e+01,1.057941646374056255e+01,3.645115049188089706e+00,-4.094503210172245389e+00,-9.983739715316623631e+00,6.716837643932684898e-01,-3.536992905361264405e+01,4.620881349798568460e-01,-7.485172372809537400e+00,-7.633137798354185044e+00
2.891193986899841750e+00,-2.926712933518559989e+00,1.717896151996206155e+00,-6.013138116947415179e-01,1.249706166190043000e+01,2.400081467305067218e+00,-9.895115829689936859e+00,-6.271062335616602645e+00,1.017533194529796248e+01,2.473735553224680750e+00,-2.475710485642935443e-01,-3.345382648718810970e-01,2.120881750300802437e+01,-3.462387726927804721e+00,1.569626837018717502e+01,-3.528764349127807787e+00,2.709526315089340609e-01,-1.314912097900891119e+01,-3.576704183607601895e+00
6.312882258385403844e+00,-1.286942385447029213e+00,7.999894536344173801e+00,-1.667373728443325476e+01,7.010402681953753046e+00,9.729152791640990894e-02,4.271469319640170959e+00,-3.554286144840565598e+00,8.800740150843944676e+00,3.002316534716588325e+00,1.413265956757767761e+01,2.092757009309746508e+01,3.307606777181456792e+00,-6.467869760893658615e-01,-1.129698713727465709e+01,1.358106236640933773e+00,1.617988685230339030e+01,2.788080413597473939e+00,-6.630188426666535406e+00
-1.457155819855666579e+01,-9.525115680935066109e+00,-8.184004878717116682e+00,8.556226429698290392e-01,3.523466131605927920e+00,1.416319531713021185e+01,3.654213219169683668e+00,1.099370680969412462e+01,6.812946473584124973e-01,-2.768107412055250460e+00,3.259963742677174370e+00,3.222922291832428510e+00,-1.333549632206186430e+01,-1.372814653001181462e+01,-4.125487782795294045e+00,1.323696420100775129e+01,-1.366591520207149557e+01,4.466282940950275560e+00,1.866409564690718526e+01
-3.196712163573013576e+00,-9.698680228109413548e+00,-9.911924739914997673e+00,1.558477804890322105e+01,-9.978122506627975952e+00,-1.906910392065331905e+01,-7.171353306004708550e+00,5.151053980364041607e+00,9.857398559391892690e+00,-8.134824999828811798e+00,-5.696688707543990482e+00,8.594154522566772592e-01,-2.132524486631401484e+00,1.069535261919693525e+01,4.034010108110358317e+00,8.564093435314966030e+00,-3.541262925620781155e-01,4.501321572931535897e+00,7.117329140523977138e+00
-4.703726542927955556e+00,1.506768592118560868e+01,2.348366668227489518e-01,-7.752631301322105095e+00,3.197095424228484806e+00,1.329252087140756977e+01,-4.277059750582309583e+00,1.677728366852698372e+01,1.202557654756002137e+01,7.344967224953450335e-01,-6.815060236592536569e+00,-1.769932766035740235e+00,-1.179692079408775918e+01,2.118374367225324129e+00,-3.500673376909803292e+00,9.783993348662260559e+00,-9.423670869119133542e+00,1.805532499109916200e+00,3.149871087422272353e+01
-6.388778482433420614e+00,-9.773606196929517154e+00,5.392525802580824035e+00,8.246264746255208555e-01,-6.316619921671176918e+00,1.260371792288616355e+01,5.124858379891765736e+00,-8.343870051443612823e+00,-4.857998052537069178e+00,1.224894339907158347e+01,1.582269488387365719e+01,4.361606313443309624e+00,-4.575840049828494571e+00,1.203158166051147404e+01,-1.685282764470374772e+01,2.057763464152239052e+01,2.141026691261241233e+00,2.390978032874775394e+01,1.746368592223170424e+01
-2.751422512266837206e+00,1.078436076408680400e+01,1.462755191860624926e+01,1.652189093217758975e+00,5.251794274872086277e+00,6.159228062232128403e-02,1.090738223369762672e+01,-2.180502595356708095e+00,-1.219760236980683032e+01,-7.694574853232367673e+00,7.811734206759631149e+00,-7.303968585715503004e+00,-4.027139867535355577e+00,1.519745504540096448e+01,-1.155017468837513306e+01,1.950154740871348835e+01,-5.447954323769855556e+00,1.321309967240720873e+01,1.659403113720613376e+01
1.494941311234395975e+01,-4.364844783650164040e+00,-1.071329598293701402e+01,9.421265918312002441e+00,-7.638661928562537007e+00,4.132861309776719949e+00,-1.422531023780002846e+00,5.131380426621554136e+00,5.648444224620368992e+00,1.319787741210196330e+01,-1.803734448181427252e+00,1.114386578164986474e+01,-5.859248849243613222e+00,2.959716525080206040e+01,-1.369951827560927171e+01,3.225687657662102481e+01,1.712083389230893093e+00,2.966936186137382947e+01,5.142908068018076762e+01
